Reef_ID,Location,Latitude,Longitude,Coral_Cover (%),Water_Temp (°C),Salinity (ppt),pH,Turbidity (NTU),Nutrient_Levels (µmol/L),Fish_Diversity (Species Count),Bleaching_Events (Count),Human_Impact_Index,Protected_Area (Yes/No)
1,Great Barrier Reef,-18.2871,147.6992,45.3,28.5,34.7,8.1,2.3,0.8,120,2,6.5,Yes
2,Caribbean Sea,17.7356,-64.7506,12.8,29.8,35.2,7.9,5.6,1.5,85,4,8.2,No
3,Red Sea,22.4964,38.9585,67.2,30.2,40.1,8.3,1.8,0.6,150,1,3.1,Yes
4,Maldives,3.2028,73.2207,23.4,30.5,34.9,8.0,4.2,1.2,95,3,7.8,No
5,Seychelles,-4.6796,55.4920,56.7,29.7,35.0,8.2,2.5,0.9,130,2,5.4,Yes
6,Andaman Sea,11.7401,92.6586,34.5,29.3,33.8,8.0,3.1,1.0,110,2,6.0,Yes
7,Philippines,12.8797,121.7740,18.9,30.1,34.5,7.8,6.0,1.8,75,5,9.0,No
8,Great Barrier Reef,-18.2871,147.6992,50.1,28.7,34.6,8.1,2.0,0.7,125,1,5.8,Yes
9,Red Sea,22.4964,38.9585,70.5,30.5,40.2,8.4,1.5,0.5,160,0,2.5,Yes
10,Caribbean Sea,17.7356,-64.7506,10.5,30.0,35.3,7.8,6.2,1.6,80,6,9.5,No
11,Maldives,3.2028,73.2207,20.0,30.8,35.0,8.1,4.5,1.3,90,4,8.0,No
12,Seychelles,-4.6796,55.4920,58.2,29.8,35.1,8.3,2.2,0.8,135,1,4.8,Yes
13,Andaman Sea,11.7401,92.6586,32.0,29.5,33.9,8.1,3.3,1.1,105,3,6.5,Yes
14,Philippines,12.8797,121.7740,15.0,30.3,34.6,7.9,6.5,1.9,70,7,9.8,No
15,Great Barrier Reef,-18.2871,147.6992,48.7,28.6,34.8,8.2,2.1,0.75,122,2,6.2,Yes
16,Red Sea,22.4964,38.9585,68.9,30.4,40.0,8.3,1.7,0.55,155,1,2.8,Yes
17,Caribbean Sea,17.7356,-64.7506,11.2,29.9,35.1,7.7,5.8,1.55,82,5,9.2,No
18,Maldives,3.2028,73.2207,21.5,30.6,34.8,8.0,4.3,1.25,92,4,7.9,No
19,Seychelles,-4.6796,55.4920,57.5,29.6,35.2,8.1,2.4,0.85,128,2,5.2,Yes
20,Andaman Sea,11.7401,92.6586,33.8,29.4,33.7,8.0,3.2,1.05,108,2,6.3,Yes
21,Philippines,12.8797,121.7740,17.5,30.2,34.4,7.8,6.1,1.85,72,6,9.5,No
22,Great Barrier Reef,-18.2871,147.6992,49.5,28.8,34.7,8.1,2.2,0.78,123,1,5.9,Yes
23,Red Sea,22.4964,38.9585,69.8,30.3,40.1,8.2,1.6,0.52,158,0,2.7,Yes
24,Caribbean Sea,17.7356,-64.7506,10.8,30.1,35.0,7.9,6.0,1.58,81,5,9.3,No
25,Maldives,3.2028,73.2207,22.0,30.7,34.9,8.1,4.4,1.28,93,4,8.1,No
26,Seychelles,-4.6796,55.4920,57.8,29.9,35.0,8.2,2.3,0.88,132,1,5.0,Yes
27,Andaman Sea,11.7401,92.6586,34.2,29.6,33.8,8.1,3.4,1.08,107,2,6.4,Yes
28,Philippines,12.8797,121.7740,16.8,30.4,34.5,7.9,6.3,1.88,73,6,9.7,No
29,Great Barrier Reef,-18.2871,147.6992,47.9,28.9,34.6,8.0,2.4,0.8,121,2,6.1,Yes
30,Red Sea,22.4964,38.9585,68.5,30.6,40.2,8.4,1.9,0.6,153,1,2.9,Yes
31,Caribbean Sea,17.7356,-64.7506,11.5,30.2,35.2,7.8,5.9,1.6,83,5,9.4,No
32,Maldives,3.2028,73.2207,20.5,30.8,34.7,8.0,4.6,1.3,91,4,8.2,No
33,Seychelles,-4.6796,55.4920,56.9,29.7,35.1,8.1,2.6,0.9,129,2,5.3,Yes
34,Andaman Sea,11.7401,92.6586,33.5,29.7,33.9,8.2,3.5,1.1,106,2,6.6,Yes
35,Philippines,12.8797,121.7740,18.2,30.5,34.6,7.8,6.4,1.9,74,7,9.9,No
36,Great Barrier Reef,-18.2871,147.6992,46.8,29.0,34.5,8.1,2.5,0.82,119,2,6.3,Yes
37,Red Sea,22.4964,38.9585,67.9,30.7,40.0,8.3,1.8,0.58,152,1,3.0,Yes
38,Caribbean Sea,17.7356,-64.7506,12.0,30.3,35.1,7.9,6.1,1.62,84,5,9.6,No
39,Maldives,3.2028,73.2207,21.8,30.9,34.8,8.1,4.7,1.32,94,4,8.3,No
40,Seychelles,-4.6796,55.4920,57.2,29.8,35.2,8.2,2.7,0.92,131,1,5.1,Yes
41,Andaman Sea,11.7401,92.6586,34.0,29.8,33.7,8.1,3.6,1.12,109,2,6.7,Yes
42,Philippines,12.8797,121.7740,17.0,30.6,34.7,7.9,6.5,1.95,76,7,10.0,No
43,Great Barrier Reef,-18.2871,147.6992,47.2,29.1,34.4,8.0,2.6,0.84,118,2,6.4,Yes
44,Red Sea,22.4964,38.9585,67.5,30.8,40.1,8.2,1.9,0.6,151,1,3.1,Yes
45,Caribbean Sea,17.7356,-64.7506,11.8,30.4,35.0,7.8,6.2,1.65,85,5,9.7,No
46,Maldives,3.2028,73.2207,22.2,31.0,34.9,8.0,4.8,1.35,96,4,8.4,No
47,Seychelles,-4.6796,55.4920,56.5,29.9,35.0,8.1,2.8,0.94,127,2,5.4,Yes
48,Andaman Sea,11.7401,92.6586,33.7,29.9,33.8,8.2,3.7,1.15,110,2,6.8,Yes
49,Philippines,12.8797,121.7740,16.5,30.7,34.8,7.8,6.6,1.98,78,7,10.1,No
50,Great Barrier Reef,-18.2871,147.6992,46.5,29.2,34.3,8.1,2.7,0.86,117,2,6.5,Yes
51,Galapagos Islands,-0.9557,-89.5895,55.0,25.5,35.5,8.0,1.5,0.7,140,1,4.0,Yes
52,Hawaii,19.8968,-155.5828,60.0,26.0,34.8,8.1,2.0,0.8,130,0,5.0,Yes
53,Fiji,-17.7134,178.0650,50.0,28.0,35.0,8.2,3.0,1.0,120,2,6.0,Yes
54,Palau,7.5149,134.5825,65.0,29.0,34.7,8.3,2.5,0.9,150,1,4.5,Yes
55,Indonesia,-2.5489,121.9716,40.0,30.0,34.5,8.0,4.0,1.2,100,3,7.0,No
56,Thailand,8.5380,97.2690,35.0,29.5,34.6,8.1,3.5,1.1,110,2,6.5,Yes
57,Vietnam,12.2388,109.1967,30.0,29.0,34.7,8.0,4.5,1.3,90,4,7.5,No
58,Myanmar,12.4396,98.6064,25.0,28.5,34.8,8.1,5.0,1.4,80,5,8.0,No
59,Sri Lanka,6.0535,80.2209,20.0,29.0,34.9,8.0,5.5,1.5,70,6,8.5,No
60,Madagascar,-18.7669,46.8691,15.0,28.0,35.0,8.1,6.0,1.6,60,7,9.0,No
61,Comoros,-11.6455,43.3333,10.0,27.5,35.1,8.0,6.5,1.7,50,8,9.5,No
62,Mauritius,-20.3484,57.5522,5.0,27.0,35.2,8.1,7.0,1.8,40,9,10.0,No
63,Reunion,-21.1151,55.5364,0.0,26.5,35.3,8.0,7.5,1.9,30,10,10.5,No
64,French Polynesia,-17.6797,-149.4068,70.0,27.0,34.9,8.2,1.0,0.6,160,0,3.0,Yes
65,New Caledonia,-20.9043,165.6180,75.0,26.5,35.0,8.3,1.5,0.7,170,0,2.5,Yes
66,Vanuatu,-15.3767,166.9592,80.0,26.0,35.1,8.4,2.0,0.8,180,0,2.0,Yes
67,Solomon Islands,-9.6457,160.1562,85.0,25.5,35.2,8.5,2.5,0.9,190,0,1.5,Yes
68,Papua New Guinea,-5.6816,150.3760,90.0,25.0,35.3,8.6,3.0,1.0,200,0,1.0,Yes
69,Timor-Leste,-8.8742,125.7275,95.0,24.5,35.4,8.7,3.5,1.1,210,0,0.5,Yes
70,Malaysia,4.2105,101.9758,100.0,24.0,35.5,8.8,4.0,1.2,220,0,0.0,Yes
71,Singapore,1.3521,103.8198,95.0,23.5,35.6,8.9,4.5,1.3,210,1,0.5,Yes
72,Brunei,4.5353,114.7277,90.0,23.0,35.7,9.0,5.0,1.4,200,2,1.0,Yes
73,East Timor,-8.5569,125.5603,85.0,22.5,35.8,9.1,5.5,1.5,190,3,1.5,Yes
74,Christmas Island,-10.4475,105.6904,80.0,22.0,35.9,9.2,6.0,1.6,180,4,2.0,Yes
75,Cocos Islands,-12.1642,96.8710,75.0,21.5,36.0,9.3,6.5,1.7,170,5,2.5,Yes
76,Chagos Archipelago,-6.0000,71.5000,70.0,21.0,36.1,9.4,7.0,1.8,160,6,3.0,Yes
77,Seychelles,-4.6796,55.4920,65.0,20.5,36.2,9.5,7.5,1.9,150,7,3.5,Yes
78,Mauritius,-20.3484,57.5522,60.0,20.0,36.3,9.6,8.0,2.0,140,8,4.0,Yes
79,Reunion,-21.1151,55.5364,55.0,19.5,36.4,9.7,8.5,2.1,130,9,4.5,Yes
80,Comoros,-11.6455,43.3333,50.0,19.0,36.5,9.8,9.0,2.2,120,10,5.0,Yes
81,Madagascar,-18.7669,46.8691,45.0,18.5,36.6,9.9,9.5,2.3,110,11,5.5,Yes
82,Mozambique,-18.6657,35.5296,40.0,18.0,36.7,10.0,10.0,2.4,100,12,6.0,Yes
83,Tanzania,-6.3690,34.8888,35.0,17.5,36.8,10.1,10.5,2.5,90,13,6.5,Yes
84,Kenya,-0.0236,37.9062,30.0,17.0,36.9,10.2,11.0,2.6,80,14,7.0,Yes
85,Somalia,5.1521,46.1996,25.0,16.5,37.0,10.3,11.5,2.7,70,15,7.5,Yes
86,Yemen,15.5527,48.5164,20.0,16.0,37.1,10.4,12.0,2.8,60,16,8.0,Yes
87,Oman,21.4735,55.9754,15.0,15.5,37.2,10.5,12.5,2.9,50,17,8.5,Yes
88,United Arab Emirates,23.4241,53.8478,10.0,15.0,37.3,10.6,13.0,3.0,40,18,9.0,Yes
89,Qatar,25.3548,51.1839,5.0,14.5,37.4,10.7,13.5,3.1,30,19,9.5,Yes
90,Bahrain,26.0667,50.5577,0.0,14.0,37.5,10.8,14.0,3.2,20,20,10.0,Yes